answer_id,question_id,loc,code_sinippet
26,17,1,424c4f42
7,4,1,646f75626c65207472616e73203d2028646f75626c652920747261636b426172312e56616c7565202f20353030302e303b0a
154,85,3,66756e6374696f6e20266765745f7573657228246e616d65297b0a2020202072657475726e20756e73657269616c697a652866696c655f6765745f636f6e74656e747328222e2e2f75736572646174612f222e246e616d6529293b0a7d0a
342,337,1,666f72
207,176,5,3c5669727475616c486f73742049503a506f72743e0a202020232053747566662c0a20202023204d6f72652053747566662c0a2020204572726f724c6f67202f706174682f77686572652f796f752f77616e742f7468652f6572726f722e6c6f670a3c2f5669727475616c486f73743e0a
266,265,12,2d50726f6a6563740a2d2d50726f6a6563742e736c6e0a2d2d5265666572656e6365730a2d2d2d5374727563747572654d61702e646c6c0a2d2d2d4e556e69742e646c6c0a2d2d2d53797374656d2e5765622e4d76632e646c6c0a2d2d50726f6a6563742e5765620a2d2d2d50726f6a6563742e5765622e50726f6a0a2d2d2d50726f6a6563742e5765622e50726f6a2066696c65730a2d2d50726f6a6563740a2d2d2d50726f6a6563742e50726f6a0a2d2d2d50726f6a6563742e50726f6a2066696c65730a
124,80,6,7661722073747253716c3a537472696e67203d2073747265616d2e7265616455544642797465732873747265616d2e6279746573417661696c61626c65293b2020202020200a76617220693a4e756d626572203d20303b0a7661722073747253716c53706c69743a4172726179203d2073747253716c2e73706c697428223b22293b0a666f72202869203d20303b2069203c2073747253716c53706c69742e6c656e6774683b20692b2b297b0a202020204e6f6e51756572792873747253716c53706c69745b695d2e746f537472696e672829293b0a7d0a
154,85,4,2475736572203d20617272617928226e616d6522203d3e202264756261796f75222c200a20202020202020202020202020202261676522203d3e2032302c0a202020202020202020202020202022776562736974657322203d3e206172726179282264756261796f752e636f6d222c2277696c6c77686172746f6e2e636f6d222c22636f6465637265616d2e636f6d22292c0a202020202020202020202020202022616e645f6f6e6522203d3e20226d6f726522293b0a
152,146,3,66756e6374696f6e206261736536345f75726c5f656e636f64652824696e70757429207b0a202020202072657475726e207374727472286261736536345f656e636f64652824696e707574292c20272b2f3d272c20272d5f2c27293b0a7d0a
342,337,1,657870616e644e6f64652829
152,146,16,2466696c656e616d65203d206261736536345f75726c5f6465636f646528245f524551554553545b2766696c65275d293b0a686561646572282243616368652d436f6e74726f6c3a207075626c696322293b0a6865616465722827436f6e74656e742d646973706f736974696f6e3a206174746163686d656e743b2066696c656e616d653d272e626173656e616d65282466696c656e616d6529293b0a6865616465722822436f6e74656e742d5472616e736665722d456e636f64696e673a2062696e61727922293b0a6865616465722827436f6e74656e742d4c656e6774683a20272e2066696c6573697a65282466696c656e616d6529293b0a0a2f2f2020507574206569746865722066696c6520636f756e74696e6720636f646520686572652e206569746865722061206462206f72207374617469632066696c65730a0a2f2f0a0a7265616466696c65282466696c656e616d65293b20202f2f616e642073706974207468652075736572207468652066696c650a0a0a66756e6374696f6e206261736536345f75726c5f6465636f64652824696e70757429207b0a2020202072657475726e206261736536345f6465636f64652873747274722824696e7075742c20272d5f2c272c20272b2f3d2729293b0a7d0a
154,85,2,24646972203d20222e2e2f75736572646174612f223b20202f2f6d616b65207375726520746f207075742069742062656c6c6f77207768617420746865207365727665722063616e2072656163682e0a66696c655f7075745f636f6e74656e747328246469722e24757365725b276e616d65275d2c73657269616c697a6528247573657229293b0a
384,382,1,4c6973743c3f3e206c697374203d20284c6973743c3f3e29206f626a6563743b0a
396,371,1,224a6f686e20536d69746822203c6a6f686e40626c61636b736d697468732d696e7465726e6174696f6e616c2e636f6d3e
509,482,1,436f6e63757272656e63794d616e61676572
384,382,1,6f626a656374
509,482,1,436f6d626f426f78
384,382,1,53757070726573735761726e696e67
509,482,1,436f6e63757272656e794d616e61676572
509,482,1,42696e64696e67436f6e74657874
509,482,1,44617461536f75726365
384,382,1,436c61737343617374457863657074696f6e
509,482,1,436f6e63757272656e794d616e6761676572
384,382,1,4c6973743c537472696e673e
362,361,8,6c697374203d206f726967696e616c537472696e672e73706c6974282727290a696e646578203d2028302c30290a6c697374203d205b22225d0a666f7220697465726174696f6e206e20696e203120746f20793a0a2020696e646578203d2028696e6465785b315d2c206c656e286c69737429290a2020666f7220737472696e67207320696e206c6973742e73756273657428696e6465785b305d20746f20656e64293a0a20202020666f7220636861726163746572206320696e206f726967696e616c537472696e673a0a2020202020206c6973742e6164642873202b2063290a
607,263,1,67746b5f6d61696e2829
607,263,37,7479706564656620737472756374207b0a20202020696e7420747970653b0a20202020696e7420726573756c743b0a7d204469616c6f67446174613b0a0a7374617469632067626f6f6c65616e0a646973706c61795f6469616c6f672867706f696e74657220757365725f64617461290a7b0a202020204469616c6f6744617461202a6469616c6f675f64617461203d20757365725f646174613b0a2020202047746b576964676574202a6469616c6f673b0a0a20202020696620286469616c6f675f646174612d3e747970652026204d425f5945534e4f290a20202020202020206469616c6f67203d2067746b5f6d6573736167655f6469616c6f675f6e6577282e2e2e293b0a20202020656c73650a20202020202020206469616c6f67203d2067746b5f6d6573736167655f6469616c6f675f6e6577282e2e2e293b0a0a202020202f2f20536574207469746c652c206574632e0a0a202020206469616c6f675f646174612d3e726573756c74203d2067746b5f6469616c6f675f72756e282e2e2e293b0a0a2020202067746b5f6d61696e5f7175697428293b20202f2f20517569747320746865206d61696e206c6f6f702072756e20696e204d657373616765426f7828290a0a2020202072657475726e2046414c53453b0a7d0a0a696e74204d657373616765426f78282e2e2e290a7b0a202020204469616c6f6744617461206469616c6f675f646174613b0a0a202020206469616c6f675f646174612e74797065203d20747970653b0a0a2020202067746b5f69646c655f61646428646973706c61795f6469616c6f672c20266469616c6f675f64617461293b0a0a2020202067746b5f6d61696e28293b0a0a202020202f2f20446f207374756666206261736564206f6e206469616c6f675f646174612e726573756c740a7d0a
607,263,1,46414c5345
713,709,1,424444
607,263,1,4d657373616765426f782829
713,709,1,4e556e6974
602,601,1,6e6f6e6465745f72616e646f6d
699,164,10,3c6f626a6563742069643d226d65646961706c617965722220636c61737369643d22636c7369643a32326436663331322d623066362d313164302d393461622d3030383063373463376539352220636f6465626173653d22687474703a2f2f616374697665782e6d6963726f736f66742e636f6d2f616374697665782f636f6e74726f6c732f6d706c617965722f656e2f6e736d7032696e662e6361622376657273696f6e3d352c312c35322c37303122207374616e6462793d226c6f6164696e67206d6963726f736f66742077696e646f7773206d6564696120706c6179657220636f6d706f6e656e74732e2e2e2220747970653d226170706c69636174696f6e2f782d6f6c656f626a656374222077696474683d2233323022206865696768743d22333130223e0a3c706172616d206e616d653d2266696c656e616d65222076616c75653d222e2f746573742e776d76223e0a20202020203c706172616d206e616d653d22616e696d6174696f6e61747374617274222076616c75653d2274727565223e0a20202020203c706172616d206e616d653d227472616e73706172656e7461747374617274222076616c75653d2274727565223e0a20202020203c706172616d206e616d653d226175746f7374617274222076616c75653d2274727565223e0a20202020203c706172616d206e616d653d2273686f77636f6e74726f6c73222076616c75653d2274727565223e0a20202020203c706172616d206e616d653d2253686f77537461747573426172222076616c75653d2274727565223e0a20202020203c706172616d206e616d653d2277696e646f776c657373766964656f222076616c75653d2274727565223e0a20202020203c656d626564207372633d222e2f746573742e776d7622206175746f73746172743d2274727565222073686f77636f6e74726f6c733d2274727565222073686f777374617475736261723d223122206267636f6c6f723d227768697465222077696474683d2233323022206865696768743d22333130223e0a3c2f6f626a6563743e0a
713,709,1,5465737444726976656e2e4e4554
516,173,5,637265617465207461626c652056657273696f6e486973746f727920280a2020202056657273696f6e20696e74207072696d617279206b65792c0a20202020557067726164655374617274206461746574696d65206e6f74206e756c6c2c0a2020202055706772616465456e64206461746574696d650a20202020293b0a
607,263,1,646973706c61795f6469616c6f672829
713,709,1,56532e4e4554
607,263,1,67746b5f69646c655f6164642829
794,561,16,2f2a2a205b636f6d62696e6174696f6e2063206e207020785d0a202a2067657420746865205b785d7468206c657869636f67726170686963616c6c79206f72646572656420736574206f66205b705d20656c656d656e747320696e205b6e5d0a202a206f757470757420697320696e205b635d2c20616e642073686f756c642062652073697a656f6628696e74292a5b705d202a2f0a766f696420636f6d62696e6174696f6e28696e742a20632c696e74206e2c696e7420702c20696e742078297b0a20202020696e7420692c722c6b203d20303b0a20202020666f7228693d303b693c702d313b692b2b297b0a2020202020202020635b695d203d20286920213d203029203f20635b692d315d203a20303b0a2020202020202020646f207b0a202020202020202020202020635b695d2b2b3b0a20202020202020202020202072203d2063686f6f7365286e2d635b695d2c702d28692b3129293b0a2020202020202020202020206b203d206b202b20723b0a20202020202020207d207768696c65286b203c2078293b0a20202020202020206b203d206b202d20723b0a202020207d0a20202020635b702d315d203d20635b702d325d202b2078202d206b3b0a7d0a
723,626,1,72657475726e
755,752,1,416374697661746f72
723,626,16,6465662077686f776f756c6477696e320a0a20206d7970726f63203d2050726f632e6e6577207b72657475726e2022467265646479227d0a20206d7970726f632e63616c6c0a0a202023206d7970726f6320676574732063616c6c656420616e642072657475726e732022467265646479222c200a2020232062757420616c736f2072657475726e7320636f6e74726f6c2066726f6d2077686f77686f756c6477696e32210a20202320546865206c696e652062656c6f77202a6e657665722a20676574732065786563757465642e0a0a202072657475726e20224a61736f6e220a0a656e640a0a0a77686f776f756c6477696e322020202020202020200a233d3e2022467265646479220a
755,752,1,53797374656d
723,626,1,50726f632e6e6577
723,626,1,6c616d626461
755,752,3,4f626a6563745479706520696e7374616e6365203d20284f626a6563745479706529416374697661746f722e437265617465496e7374616e6365286f626a65637454797065293b0a0a4f626a6563745479706520696e7374616e6365203d20284f626a6563745479706529416374697661746f722e437265617465496e7374616e636528224d79417373656d626c79222c224d794e616d6573706163652e4f626a6563745479706522293b0a
762,761,14,52656765782073696e676c654d546f446f75626c655265676578203d206e65772052656765782822283f3c216d296d283f216d2922293b0a52656765782073696e676c6544546f446f75626c655265676578203d206e65772052656765782822283f3c21642964283f21642922293b0a43756c74757265496e666f2063757272656e7443756c74757265203d2043756c74757265496e666f2e43757272656e74554943756c747572653b0a0a2f2f204966207468652063756c74757265206973206e65747572616c207468657265206973206e6f2064617465207061747465726e20746f207573652c20736f20757365207468652064656661756c742e0a6966202863757272656e7443756c747572652e49734e65757472616c43756c74757265290a7b0a2020202063757272656e7443756c74757265203d2043756c74757265496e666f2e496e76617269616e7443756c747572653b0a7d0a0a2f2f204d6173736167652074686520666f726d617420696e746f2061206d6f72652067656e6572616c207573657220667269656e646c7920666f726d2e0a737472696e672073686f7274446174655061747465726e203d2043756c74757265496e666f2e43757272656e74554943756c747572652e4461746554696d65466f726d61742e53686f7274446174655061747465726e2e546f4c6f77657228293b0a73686f7274446174655061747465726e203d2073696e676c654d546f446f75626c6552656765782e5265706c6163652873686f7274446174655061747465726e2c20226d6d22293b0a73686f7274446174655061747465726e203d2073696e676c6544546f446f75626c6552656765782e5265706c6163652873686f7274446174655061747465726e2c2022646422293b0a
723,626,15,6465662077686f776f756c6477696e0a0a20206d796c616d626461203d206c616d626461207b72657475726e2022467265646479227d0a20206d796c616d6264612e63616c6c0a0a202023206d796c616d62646120676574732063616c6c656420616e642072657475726e732022467265646479222c20616e6420657865637574696f6e0a20202320636f6e74696e756573206f6e20746865206e657874206c696e650a0a202072657475726e20224a61736f6e220a0a656e640a0a0a77686f776f756c6477696e0a233d3e20224a61736f6e220a
890,888,1,6469652829
820,810,9,636f6e737420484b45595f5553455253203d20264838303030303030330a737472436f6d7075746572203d20222e220a536574206f626a5265673d4765744f626a656374282277696e6d676d74733a7b696d706572736f6e6174696f6e4c6576656c3d696d706572736f6e6174657d215c5c22202620737472436f6d7075746572202620225c726f6f745c64656661756c743a53746452656750726f7622290a7374724b657950617468203d2022220a6f626a5265672e456e756d4b657920484b45595f55534552532c207374724b6579506174682c206172725375624b6579730a7374724b657950617468203d20225c536f6674776172655c4d6963726f736f66745c57696e646f77735c43757272656e7456657273696f6e5c57696e54727573745c54727573742050726f7669646572735c536f667477617265205075626c697368696e67220a466f722045616368207375626b657920496e206172725375624b6579730a202020206f626a5265672e53657444574f524456616c756520484b45595f55534552532c207375626b65792026207374724b6579506174682c20225374617465222c203134363934340a4e6578740a
799,717,1,4f4c454442
799,717,1,22416e792043505522
911,904,1,267368793b0a
890,888,1,7661725f64756d702829
911,904,3,646976207b0a202077696474683a2031353070783b0a7d
799,717,1,783836
837,832,14,76617220636f6c6c656374696f6e3d0a2020202066726f6d207520696e2064622e556e6976657273650a2020202073656c656374206e65770a202020207b0a2020202020202020752e69642c0a2020202020202020752e6e616d652c0a20202020202020204d617844617465203d284461746554696d653f290a20202020202020280a202020202020202020202066726f6d206820696e2064622e486973746f72790a2020202020202020202020776865726520752e4964203d3d20682e49640a2020202020202020202020262620682e64617465436f6c203c207965737465726461790a202020202020202020202073656c65637420682e64617465436f6c200a20202020202020292e4d617828290a202020207d3b0a
885,879,10,3c3f7068700a66756e6374696f6e206164645f736f6d655f6578747261282624737472696e67290a7b0a2020202024737472696e67202e3d2027616e6420736f6d657468696e672065787472612e273b0a7d0a0a24737472203d202754686973206973206120737472696e672c20273b0a6164645f736f6d655f65787472612824737472293b0a6563686f20247374723b202020202f2f206f757470757473202754686973206973206120737472696e672c20616e6420736f6d657468696e672065787472612e270a3f3e0a
911,904,3,3c6469763e0a20203132333333267368793b32333333267368793b323333267368793b3233333339333932267368793b3333323333323332330a3c2f6469763e
1023,835,4,3c65786563757461626c653e633a5c57494e444f57535c4d6963726f736f66742e4e45545c4672616d65776f726b5c76332e355c4d534275696c642e6578653c2f65786563757461626c653e0a3c776f726b696e674469726563746f72793e433a5c646174615c70726f6a656374735c466f6f536f6c7574696f6e5c3c2f776f726b696e674469726563746f72793e0a3c70726f6a65637446696c653e466f6f536f6c7574696f6e2e736c6e3c2f70726f6a65637446696c653e0a3c6275696c64417267733e2f6e6f636f6e736f6c656c6f67676572202f703a436f6e66696775726174696f6e3d4465627567203c2f6275696c64417267733e0a
942,905,1,434f4c4c4154452064617461626173655f64656661756c74
1028,947,1,54525545
1028,947,1,42535452
1028,947,1,684d75746578203d204372656174654d7574657828427956616c2030262c20312c20427956616c203026290a
942,905,1,53514c2053657276657220323030302f323030352f32303038
951,930,22,7573696e672053797374656d2e446174612e4f6c6544623b0a2e2e2e0a0a7573696e6720284f6c654462436f6e6e656374696f6e20636f6e6e203d206e6577204f6c654462436f6e6e656374696f6e2829290a7b0a20202020636f6e6e2e436f6e6e656374696f6e537472696e67203d202250726f76696465723d73716c6f6c6564623b4461746120536f757263653d796f75725365727665726e616d655c5c796f7572496e7374616e63653b496e697469616c20436174616c6f673d64617461626173654e616d653b496e74656772617465642053656375726974793d535350493b223b0a0a202020207573696e6720284f6c654462436f6d6d616e6420636d64203d206e6577204f6c654462436f6d6d616e642829290a202020207b0a2020202020202020636f6e6e2e4f70656e28293b0a2020202020202020636d642e436f6e6e656374696f6e203d20636f6e6e3b0a2020202020202020636d642e436f6d6d616e6454657874203d202253656c656374202a2066726f6d20796f75725461626c65223b0a0a20202020202020207573696e6720284f6c65446244617461526561646572206472203d20636d642e457865637574655265616465722829290a20202020202020207b0a2020202020202020202020207768696c65202864722e526561642829290a2020202020202020202020207b0a20202020202020202020202020202020436f6e736f6c652e57726974654c696e652864725b22636f6c756d6e4e616d65225d293b0a2020202020202020202020207d0a20202020202020207d0a202020207d0a7d0a
1028,947,1,53454355524954595f41545452494255544553
1023,835,8,3c7075626c6973686572733e0a20203c786d6c6c6f67676572202f3e0a20203c6275696c647075626c69736865723e0a202020203c736f757263654469723e433a5c646174615c70726f6a656374735c466f6f536f6c7574696f6e5c466f6f50726f6a6563745c62696e5c44656275673c2f736f757263654469723e0a202020203c7075626c6973684469723e433a5c7075626c69736865645c466f6f536f6c7574696f6e5c3c2f7075626c6973684469723e0a202020203c7573654c6162656c5375624469726563746f72793e66616c73653c2f7573654c6162656c5375624469726563746f72793e0a20203c2f6275696c647075626c69736865723e0a3c2f7075626c6973686572733e0a
938,935,1,696e7365727420696e746f2045736361706554657374202874657874292076616c7565732028452754686973206973207468652066697273742070617274205c5c6e20416e64207468697320697320746865207365636f6e6427293b0a
1028,947,1,46414c5345
938,935,1,696e7365727420696e746f2045736361706554657374202874657874292076616c7565732028452754686973206973207468652066697273742070617274205c6e20416e64207468697320697320746865207365636f6e6427293b0a
1028,947,1,5642
1130,1108,1,4e203d2028722f62667229203d20353030303030302f35203d20312c3030302c303030
1130,1108,1,4e2f32
1130,1108,1,52203d20323034
1096,1064,20,766f696420447261774375626528290a7b0a202020202f2f636f646520746f20647261772074686520637562650a7d0a0a766f696420446973706c6179437562657328290a7b0a20202020666f7228696e742069203d20303b2069203c2031303b202b2b69290a202020207b2020200a202020202020202020666f7228696e74206a203d20303b206a203c2031303b202b2b6a290a2020202020202020207b0a20202020202020202020202020676c507573684d617472697828293b0a202020202020202020202020202f2f616c7465722074686573652076616c75657320646570656e64696e67206f6e207468652073697a65206f6620796f75722063756265732e0a202020202020202020202020202f2f546869732063616c6c206d616b65732073757265207468617420796f7572206375626573206172656e277420647261776e206f766572746f70206f662065616368206f746865720a20202020202020202020202020676c5472616e736c6174656628692a352e302c206a2a352e302c2030293b0a20202020202020202020202020447261774375626528293b0a20202020202020202020202020676c506f704d617472697828293b0a2020202020202020207d0a202020207d20202020202020202020202020200a7d0a
1130,1108,1,626672203d2028422f5229203d20313032342f323034203d2035
1130,1108,1,72203d20352c3030302c303030
1130,1108,1,52203d203534
1130,1108,1,4e2f32203d203530302c303030
1130,1108,1,4e203d20312c3030302c303030
1073,1069,1,6c6f772d6c6576656c20616c6c6f6320415049
1130,1108,1,4e
1130,1108,1,4e203d2028722f62667229203d20353030303030302f3138203d203237372c373738
1130,1108,1,6c6f67322031303030303030203d2031392e3933203d203230
1130,1108,1,626672203d2028422f5229203d20313032342f3534203d203138
1130,1108,1,42203d20312c303234
1130,1108,1,3139202b2031203d203230
1130,1108,1,6c6f6732204e
1044,1040,1,4d6f766546696c654578
1130,1108,1,6c6f673220323737373738203d2031382e3038203d203139
1243,1237,1,5c5b73746172745c5d5c732a2828283f215c5b73746172745c5d7c5c5b656e645c5d292e292b295c732a5c5b656e645c5d0a
1309,1304,2,6966206e6f74206c6f636b6564207468656e0a202020206f70656e20616e64207570646174652066696c650a
1154,1145,3,766f696420207374727265702863686172202a696e7075742c2063686172202a7365617263682c2063686172202a7265706c616365293b0a636861722a207374727265706d2863686172202a696e7075742c2063686172202a7365617263682c2063686172202a7265706c616365293b0a766f696420207374727265706d667265652863686172202a696e707574293b0a
1243,1237,1,5b656e645d
1243,1237,1,5b73746172745d
1305,1292,18,7075626c696320636c617373204c696d6974656451756575653c543e203a2051756575653c543e0a7b0a202020207075626c696320696e74204c696d6974207b206765743b207365743b207d0a0a202020207075626c6963204c696d69746564517565756528696e74206c696d697429203a2062617365286c696d6974290a202020207b0a20202020202020204c696d6974203d206c696d69743b0a202020207d0a0a202020207075626c6963206e657720766f696420456e71756575652854206974656d290a202020207b0a20202020202020207768696c652028436f756e74203e3d204c696d6974290a20202020202020207b0a2020202020202020202020204465717565756528293b0a20202020202020207d0a2020202020202020626173652e456e7175657565286974656d293b0a202020207d0a7d0a
1248,11,40,636f6e737420696e74205345434f4e44203d20313b0a636f6e737420696e74204d494e555445203d203630202a205345434f4e443b0a636f6e737420696e7420484f5552203d203630202a204d494e5554453b0a636f6e737420696e7420444159203d203234202a20484f55523b0a636f6e737420696e74204d4f4e5448203d203330202a204441593b0a0a766172207473203d206e65772054696d655370616e284461746554696d652e5574634e6f772e5469636b73202d20796f7572446174652e5469636b73293b0a646f75626c652064656c7461203d204d6174682e4162732874732e546f74616c5365636f6e6473293b0a0a6966202864656c7461203c2031202a204d494e555445290a202072657475726e2074732e5365636f6e6473203d3d2031203f20226f6e65207365636f6e642061676f22203a2074732e5365636f6e6473202b2022207365636f6e64732061676f223b0a0a6966202864656c7461203c2032202a204d494e555445290a202072657475726e202261206d696e7574652061676f223b0a0a6966202864656c7461203c203435202a204d494e555445290a202072657475726e2074732e4d696e75746573202b2022206d696e757465732061676f223b0a0a6966202864656c7461203c203930202a204d494e555445290a202072657475726e2022616e20686f75722061676f223b0a0a6966202864656c7461203c203234202a20484f5552290a202072657475726e2074732e486f757273202b202220686f7572732061676f223b0a0a6966202864656c7461203c203438202a20484f5552290a202072657475726e2022796573746572646179223b0a0a6966202864656c7461203c203330202a20444159290a202072657475726e2074732e44617973202b202220646179732061676f223b0a0a6966202864656c7461203c203132202a204d4f4e5448290a7b0a2020696e74206d6f6e746873203d20436f6e766572742e546f496e743332284d6174682e466c6f6f722828646f75626c652974732e44617973202f20333029293b0a202072657475726e206d6f6e746873203c3d2031203f20226f6e65206d6f6e74682061676f22203a206d6f6e746873202b2022206d6f6e7468732061676f223b0a7d0a656c73650a7b0a2020696e74207965617273203d20436f6e766572742e546f496e743332284d6174682e466c6f6f722828646f75626c652974732e44617973202f2033363529293b0a202072657475726e207965617273203c3d2031203f20226f6e6520796561722061676f22203a207965617273202b20222079656172732061676f223b0a7d0a
1232,1180,2,5365727665726e616d65207777772e6f7572646f6d61696e2e636f6d0a536572766572416c696173202a2e6f7572646f6d61696e2e636f6d0a
1232,1180,1,6c697374282024757365726e616d652029203d206578706c6f64652820222e222c20245f5345525645525b2022485454505f484f535422205d20293b0a
1157,1156,1,43524541544520494e444558205b696e646578206e616d655d204f4e205b7461626c65206e616d655d2028205b636f6c756d6e206e616d655d20290a
1456,1453,10,7075626c69632066756e6374696f6e20637265617465536869706d656e74282473746172745a69702c2024656e645a69702c20247765696768743d6e756c6c297b0a2020202024776569676874203d202124776569676874203f2024746869732d3e67657444656661756c745765696768742829203a20247765696768743b0a7d0a0a2f2f206f722e2e2e0a0a7075626c69632066756e6374696f6e20637265617465536869706d656e74282473746172745a69702c2024656e645a69702c20247765696768743d6e756c6c297b0a202020206966202820212477656967687420290a202020202020202024776569676874203d2024746869732d3e67657444656661756c7457656967687428293b0a7d0a
1339,1329,1,78636f7079202f4b202f52202f45202f49202f53202f43202f48202f47202f58202f5920733a5c2a2e2a20743a5c0a
1468,1457,3,2f2f20414a415820636f646520746f20646973706c6179207468652022666f6f2220737461746520676f657320686572652e0a0a6c6f636174696f6e2e68617368203d2027666f6f273b0a
1418,1401,1,73656e646572
1418,1401,1,61726773
1468,1457,1,6c6f636174696f6e2e68617368
1425,1417,2,24757365726e616d65203d20245f5345525645525b275048505f415554485f55534552275d3b0a2470617373776f7264203d20245f5345525645525b275048505f415554485f5057275d3b0a
1477,1451,11,225b466c6167735d0a7075626c696320656e756d205065726d697373696f6e0a7b0a20202020564945575553455253203d20312c202f2f20325e30202f2f203030303020303030310a20202020454449545553455253203d20322c202f2f20325e31202f2f203030303020303031300a202020205649455750524f4455435453203d20342c202f2f20325e32202f2f203030303020303130300a202020204544495450524f4455435453203d20382c202f2f20325e33202f2f203030303020313030300a2020202056494557434c49454e5453203d2031362c202f2f20325e34202f2f203030303120303030300a2020202045444954434c49454e5453203d2033322c202f2f20325e35202f2f203030313020303030300a2020202044454c455445434c49454e5453203d2036342c202f2f20325e36202f2f203031303020303030300a7d220a
1404,9,6,2f2f205361766520746f646179277320646174652e0a76617220746f646179203d204461746554696d652e546f6461793b0a2f2f2043616c63756c61746520746865206167652e0a76617220616765203d20746f6461792e59656172202d206269727468646174652e596561723b0a2f2f20476f206261636b20746f2074686520796561722074686520706572736f6e2077617320626f726e20696e2063617365206f662061206c65617020796561720a696620286269727468646174652e44617465203e20746f6461792e4164645965617273282d6167652929206167652d2d3b0a
1418,1401,1,5363726970744d616e616765722e5265676973746572436c69656e74536372697074426c6f636b
1771,1762,1,2463616e4d65726765203d202824636f6e646974696f6e312026262024636f6e646974696f6e32293b0a
1843,1836,16,7573696e672053797374656d3b0a7573696e672053797374656d2e44726177696e673b0a7573696e672053797374656d2e57696e646f77732e466f726d733b0a0a73746174696320636c6173732050726f6772616d0a7b0a2020202073746174696320766f6964204d61696e28290a202020207b0a202020202020202054696d65722074696d6572203d206e65772054696d657228293b0a20202020202020202f2f2074696d65722e496e74657276616c203d2034206d696e757465730a202020202020202074696d65722e496e74657276616c203d2028696e74292854696d655370616e2e5469636b735065724d696e757465202a2034202f2054696d655370616e2e5469636b735065724d696c6c697365636f6e64293b0a202020202020202074696d65722e5469636b202b3d202873656e6465722c206172677329203d3e207b20437572736f722e506f736974696f6e203d206e657720506f696e7428437572736f722e506f736974696f6e2e58202b20312c20437572736f722e506f736974696f6e2e59202b2031293b207d3b0a202020202020202074696d65722e537461727428293b0a20202020202020204170706c69636174696f6e2e52756e28293b0a202020207d0a7d0a
1749,1746,1,2f285b412d5a5d292f
